,0,1,2,3
0,90,4-eng 4-English,T006 Teacher006,Th01 Thursday 9:30 - 10:30
1,91,4-eng 4-English,T006 Teacher006,T06 Tuesday 3:30 - 4:30
2,92,4-eng 4-English,T006 Teacher006,F06 Friday 3:30 - 4:30
3,93,4-eng 4-English,T006 Teacher006,W02 Wednesday 10:30 - 11:30
4,94,4-eng 4-English,T006 Teacher006,Th07 Thursday 4:30 - 5:30
5,95,4-eng 4-English,T006 Teacher006,T02 Tuesday 10:30 - 11:30
6,96,4-mat 4-Maths,T008 Teacher008,M06 Monday 3:30 - 4:30
7,97,4-mat 4-Maths,T008 Teacher008,M02 Monday 10:30 - 11:30
8,98,4-mat 4-Maths,T008 Teacher008,F07 Friday 4:30 - 5:30
9,99,4-mat 4-Maths,T008 Teacher008,W04 Wednesday 12:30 - 1:30
10,100,4-mat 4-Maths,T008 Teacher008,F04 Friday 12:30 - 1:30
11,101,4-mat 4-Maths,T008 Teacher008,W07 Wednesday 4:30 - 5:30
12,102,4-sci 4-Science,T002 Teacher002,M07 Monday 4:30 - 5:30
13,103,4-sci 4-Science,T002 Teacher002,Th01 Thursday 9:30 - 10:30
14,104,4-sci 4-Science,T002 Teacher002,T01 Tuesday 9:30 - 10:30
15,105,4-sci 4-Science,T002 Teacher002,Th07 Thursday 4:30 - 5:30
16,106,4-sci 4-Science,T002 Teacher002,Th04 Thursday 12:30 - 1:30
17,107,4-sci 4-Science,T002 Teacher002,W07 Wednesday 4:30 - 5:30
18,108,4-soc 4-Social,T004 Teacher004,Th05 Thursday 2:30 - 3:30
19,109,4-soc 4-Social,T004 Teacher004,W04 Wednesday 12:30 - 1:30
20,110,4-soc 4-Social,T004 Teacher004,M04 Monday 12:30 - 1:30
21,111,4-soc 4-Social,T004 Teacher004,W01 Wednesday 9:30 - 10:30
22,112,4-soc 4-Social,T004 Teacher004,T07 Tuesday 4:30 - 5:30
23,113,4-soc 4-Social,T004 Teacher004,T05 Tuesday 2:30 - 3:30
24,114,4-tam 4-Tamil,T010 Teacher010,F04 Friday 12:30 - 1:30
25,115,4-tam 4-Tamil,T010 Teacher010,F07 Friday 4:30 - 5:30
26,116,4-tam 4-Tamil,T010 Teacher010,F03 Friday 11:30 - 12:30
27,117,4-tam 4-Tamil,T010 Teacher010,F06 Friday 3:30 - 4:30
28,118,4-tam 4-Tamil,T010 Teacher010,M03 Monday 11:30 - 12:30
29,119,4-tam 4-Tamil,T010 Teacher010,M01 Monday 9:30 - 10:30
