,0,1,2,3
0,0,5-eng 5-English,T005 Teacher005,F04 Friday 12:30 - 1:30
1,1,5-eng 5-English,T005 Teacher005,W01 Wednesday 9:30 - 10:30
2,2,5-eng 5-English,T005 Teacher005,T01 Tuesday 9:30 - 10:30
3,3,5-eng 5-English,T005 Teacher005,F01 Friday 9:30 - 10:30
4,4,5-eng 5-English,T005 Teacher005,Th01 Thursday 9:30 - 10:30
5,5,5-eng 5-English,T005 Teacher005,T05 Tuesday 2:30 - 3:30
6,6,5-mat 5-Maths,T007 Teacher007,F04 Friday 12:30 - 1:30
7,7,5-mat 5-Maths,T007 Teacher007,T01 Tuesday 9:30 - 10:30
8,8,5-mat 5-Maths,T007 Teacher007,Th02 Thursday 10:30 - 11:30
9,9,5-mat 5-Maths,T007 Teacher007,M07 Monday 4:30 - 5:30
10,10,5-mat 5-Maths,T007 Teacher007,T06 Tuesday 3:30 - 4:30
11,11,5-mat 5-Maths,T007 Teacher007,F02 Friday 10:30 - 11:30
12,12,5-sci 5-Science,T001 Teacher001,T07 Tuesday 4:30 - 5:30
13,13,5-sci 5-Science,T001 Teacher001,W02 Wednesday 10:30 - 11:30
14,14,5-sci 5-Science,T001 Teacher001,M05 Monday 2:30 - 3:30
15,15,5-sci 5-Science,T001 Teacher001,M03 Monday 11:30 - 12:30
16,16,5-sci 5-Science,T001 Teacher001,W06 Wednesday 3:30 - 4:30
17,17,5-sci 5-Science,T001 Teacher001,T06 Tuesday 3:30 - 4:30
18,18,5-soc 5-Social,T003 Teacher003,F01 Friday 9:30 - 10:30
19,19,5-soc 5-Social,T003 Teacher003,T04 Tuesday 12:30 - 1:30
20,20,5-soc 5-Social,T003 Teacher003,T01 Tuesday 9:30 - 10:30
21,21,5-soc 5-Social,T003 Teacher003,W01 Wednesday 9:30 - 10:30
22,22,5-soc 5-Social,T003 Teacher003,W05 Wednesday 2:30 - 3:30
23,23,5-soc 5-Social,T003 Teacher003,Th07 Thursday 4:30 - 5:30
24,24,5-tam 5-Tamil,T009 Teacher009,W07 Wednesday 4:30 - 5:30
25,25,5-tam 5-Tamil,T009 Teacher009,Th02 Thursday 10:30 - 11:30
26,26,5-tam 5-Tamil,T009 Teacher009,F07 Friday 4:30 - 5:30
27,27,5-tam 5-Tamil,T009 Teacher009,M07 Monday 4:30 - 5:30
28,28,5-tam 5-Tamil,T009 Teacher009,M06 Monday 3:30 - 4:30
29,29,5-tam 5-Tamil,T009 Teacher009,T02 Tuesday 10:30 - 11:30
